Name,Stadt,Type,Land,Kontakt,Name
STV Aalen,Aalen,Stadt,Baden-Württemberg,N,
ABH Bad Krozingen,Bad Krozingen,Stadt,Baden-Württemberg,N,
STV Backnang,Backnang,Stadt,Baden-Württemberg,N,
STV Böblingen,Böblingen,Stadt,Baden-Württemberg,N,
STV Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,
STV Fellbach,Fellbach,Stadt,Baden-Württemberg,N,
BGM Geislingen,Geislingen,Stadt,Baden-Württemberg,N,
STV Göppingen,Göppingen,Stadt,Baden-Württemberg,N,
STV Heidenheim,Heidenheim,Stadt,Baden-Württemberg,N,
STV Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,
BGM Kirchheim unter Teck,Kirchheim unter Teck,Stadt,Baden-Württemberg,N,
STV Kornwestheim,Kornwestheim,Stadt,Baden-Württemberg,N,
STV Leonberg,Leonberg,Stadt,Baden-Württemberg,N,
STV Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,
STV Nürtingen,Nürtingen,Stadt,Baden-Württemberg,N,
STV Schwäbisch Gmünd,Schwäbisch Gmünd,Stadt,Baden-Württemberg,N,
STV Schwäbisch Hall,Schwäbisch Hall,Stadt,Baden-Württemberg,N,
STV Sindelfingen,Sindelfingen,Stadt,Baden-Württemberg,N,
STV Ulm,Ulm,Stadt,Baden-Württemberg,N,
LHS Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,
STV Waiblingen,Waiblingen,Stadt,Baden-Württemberg,N,
LRA Ostalbkreis,Ostalbkreis,Landkreis,Baden-Württemberg,N,
STV Herrenberg,Herrenberg,Stadt,Baden-Württemberg,N,
BGM Stutensee,Stutensee,Stadt,Baden-Württemberg,N,
LRA Böblingen,Böblingen,Stadt,Baden-Württemberg,N,
LRA Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,
LRA Göppingen,Göppingen,Stadt,Baden-Württemberg,N,
LRA Heidenheim,Heidenheim,Stadt,Baden-Württemberg,N,
LRA Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,
LRA Hohenlohekreis,Hohenlohekreis,Landkreis,Baden-Württemberg,N,
LRA Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,
RP Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,
LEA Ellwangen,Ellwangen,Stadt,Baden-Württemberg,N,
RP Stuttgart - LZF,Stuttgart,Stadt,Baden-Württemberg,N,
RP Tübingen (15.2 ABH),Tübingen,Stadt,Baden-Württemberg,N,
LRA Schwäbisch Hall,Schwäbisch Hall,Stadt,Baden-Württemberg,N,
LRA Alb-Donau Kreis in Ulm,Alb-Donau-Kreis,Stadt,Baden-Württemberg,N,
LRA Alb-Donau-Kreis in Ehingen,Alb-Donau-Kreis in Ehingen,Landkreis,Baden-Württemberg,N,
LRA Rems-Murr-Kreis,Rems-Murr-Kreis,Landkreis,Baden-Württemberg,N,
STV Bruchsal,Bruchsal,Stadt,Baden-Württemberg,N,
STV Ettlingen,Ettlingen,Stadt,Baden-Württemberg,N,
STV Heidelberg,Heidelberg,Stadt,Baden-Württemberg,N,
