Name,Land,Kontakt,,,,,,,,,,,#REF!
STV Aalen,Baden-Württemberg,N,,,,,,,,,,,#REF!
ABH Bad Krozingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Backnang,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Böblingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Esslingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Fellbach,Baden-Württemberg,N,,,,,,,,,,,#REF!
BGM Geislingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Göppingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Heidenheim,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Heilbronn,Baden-Württemberg,N,,,,,,,,,,,#REF!
BGM Kirchheim unter Teck,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Kornwestheim,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Leonberg,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Ludwigsburg,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Nürtingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Schwäbisch Gmünd,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Schwäbisch Hall,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Sindelfingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Ulm,Baden-Württemberg,N,,,,,,,,,,,#REF!
LHS Stuttgart,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Waiblingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Ostalbkreis,Baden-Württemberg,N,,,,,,,,,,,#REF!
STV Herrenberg,Baden-Württemberg,N,,,,,,,,,,,#REF!
BGM Stutensee,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Böblingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Esslingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Göppingen,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Heidenheim,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Heilbronn,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Hohenlohekreis,Baden-Württemberg,N,,,,,,,,,,,#REF!
LRA Ludwigsburg,Baden-Württemberg,N,,,,,,,,,,,#REF!
