Name,Stadt,Typ,Land,Kontakt,Einwohner,Bürgermeister:in,Partei,Kontaktdaten,,,,,,,,Telefon,Fax,Website,Adresse,Lat,Lng
STV Aalen,Aalen,Stadt,Baden-Württemberg,N,67621,Frederick Brütting,SPD,auslaenderamt@aalen.de,,SPD,,,,,,07361/52-0,07361/523930,,"Marktplatz 30, , 73430 Aalen",48.8360855,10.0933766,48.8363627,10.0935688,,,48.8375607,10.0929593,48.8375607,10.0929593, , 73430 Aalen, , 73430 Aalen,,
ABH Bad Krozingen,Bad Krozingen,Stadt,Baden-Württemberg,N,21755,Volker Kieber,CDU/CSU,auslaenderbehoerde@bad-krozingen.de,,CDU/CSU,,,,,,07633 / 407 - 0,,http://www.bad-krozingen.de,"Basler Str. 30, , 79189 Bad Krozingen",47.9162386,7.7005965,47.9162386,7.7005965,,,47.9159087,7.6999845,47.9159087,7.6999845, , 79189 Bad Krozingen,,
STV Backnan,Backnang,Stadt,Baden-Württemberg,N,38818,Maximilian Friedrich,FW,stadt@backnang.de,,FW,,,,,,07191/894-0,07191/894131,,"Im Biegel 13, , 71522 Backnang",48.9486426,9.4303605,48.9486541,9.430377,48.9468454,9.4303638, , 71522 Backnang,,
STV Böblingen,Böblingen,Stadt,Baden-Württemberg,N,51483,Stefan Belz,Grüne,stadt@boeblingen.de,,Grüne,,,,,,07031/669-0,07031/6691499,,"Marktplatz 16, , 71032 Böblingen",48.6849579,9.0110065,48.6849579,9.0110065,48.684969,9.0113444,,
STV Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,96182,Matthias Klopfer,SPD,auslaenderamt@esslingen.de,,Parteilos,,,,,,0711/3512-0,0711/35122590,,"Beblingerstr. 3/1, , 73728 Esslingen am Neckar",48.7426924,9.3045095,48.7422333,9.3046207,48.7427584,9.3071685,,
STV Fellbach,Fellbach,Stadt,Baden-Württemberg,N,47120,Gabriele Zull,Parteilos,auslaenderamt@fellbach.de,,FDP,,,,,,0711/5851-0,0711/5851300,,"Marktplatz 1, , 70734 Fellbach",48.8083090,9.2756750,48.8082943,9.2759264,48.814499,9.2745228,,
BGM Geislingen,Geislingen,Stadt,Baden-Württemberg,N,27791,Ignazio Ceffalia,Parteilos,post@zollernalbkreis.de,,,,,,,,07433/92-01,07433/921666,http://www.zollernalbkreis.de,"Hirschbergstr. 29, , 72336 Balingen",48.2738895,8.8576211,48.2738895,8.8576211,48.9424223,10.422228,,
STV Göppingen,Göppingen,Stadt,Baden-Württemberg,N,58937,Alexander Maier,Grüne,auslaenderbehoerde@goeppingen.de,,#N/A,,,,,,07161/650-0,07161/650257,http://www.goeppingen.de,"Geislinger Str. 27, , 73033 Göppingen",48.7011621,9.6543077,48.7011621,9.6543077,48.7031377,9.6541116,,
STV Heidenheim,Heidenheim an der Brenz,Stadt,Baden-Württemberg,N,50618,Michael Salomo,SPD,auslaenderwesen@heidenheim.de,,Freisinger Mitte,,,,,,07321/327-0,07321/3233326,,"Grabenstr. 15, , 89522 Heidenheim an der Brenz",48.6764071,10.1535045,48.6764735,10.1534317,48.6767637,10.152923,,
STV Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,131986,Harry Mergel,SPD,abh@stadt-heilbronn.de,,BBV,,,,,,07131/56-0,07131/563143,,"Marktplatz 7, , 74072 Heilbronn",49.1427877,9.2183900,49.1427877,9.21839,49.142291,9.218655,,
BGM Kirchheim unter Teck,Kirchheim unter Teck,Stadt,Baden-Württemberg,N,42299,Pascal Bader,Parteilos,auslaender@kirchheim-teck.de,,UBV,,,,,,07021/502-0,07021/502285,,"Marktstr. 14, , 73230 Kirchheim unter Teck",48.6488910,9.4513664,48.648891,9.4513664,48.6480545,9.4510227,,
STV Kornwestheim,Kornwestheim,Stadt,Baden-Württemberg,N,33980,Nico Lauxmann,CDU/CSU,auslaenderamt@kornwestheim.de,,WGK,,,,,,07154/202-0,07154/202-0,,"Jakob-Sigle-Platz 1, , 70806 Kornwestheim",48.8599559,9.1846313,48.8599559,9.1846313,48.8611498,9.1873875,,
STV Leonberg,Leonberg,Stadt,Baden-Württemberg,N,49480,Tobias Degode,Parteilos,snd@leonberg.de,,Die Linke,,,,,,07152/990-2350,07152/9902391,http://www.leonberg.de,"Marktplatz 9, , 71229 Leonberg",48.8012420,9.0149162,48.801242,9.0149162,48.8012983,9.0150026,,
STV Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,92858,Matthias Knecht,Parteilos,auslaenderbehoerde@ludwigsburg.de,,FWG,,,,,,07141/910-0,07141/9102768,,"Wilhelmstr. 11, , 71638 Ludwigsburg",48.8959436,9.1916700,48.8959436,9.19167,48.8953937,9.1895147,,
STV Nürtingen,Nürtingen,Stadt,Baden-Württemberg,N,40773,Johannes Fridrich,Parteilos,awes.stadt@nuertingen.de,,,,,,,,07022/75-0,07022/75584,,"Marktstr. 7, , 72622 Nürtingen",48.6259106,9.3369848,48.6259106,9.3369848,48.6265854,9.3365463,,
STV Schwäbisch Gmünd,Schwäbisch Gmünd,Stadt,Baden-Württemberg,N,64416,Richard Arnold,CDU/CSU,stadtverwaltung@schwaebisch-gmuend.de,,,,,,,,07171/603-355,07171/6033259,,"Waisenhausgasse 1/3, , 73525 Schwäbisch Gmünd",48.8013903,9.7961508,48.8010802,9.7958977,48.7999036,9.7977584,,
STV Schwäbisch Hall,Schwäbisch Hall,Stadt,Baden-Württemberg,N,42598,Daniel Bullinger,FDP,claudia.kuetterer@schwaebischhall.de,,,,,,,,0791/751-0,0791/751420,http://www.schwaebischhall.de,"Gymnasiumstr. 2, , 74523 Schwäbisch Hall",49.1129803,9.7386393,49.1129803,9.7386393,49.1124305,9.7371246
STV Sindelfingen,Sindelfingen,Stadt,Baden-Württemberg,N,61422,Markus Kleemann,CDU/CSU,stadt@sindelfingen.de,,,,,,,,07031/94-0,07031/94610,,"Rathausplatz 1, , 71063 Sindelfingen",48.7171611,8.8858759,48.7082372,9.0045946,48.7084162,9.0035455
STV Ulm,Ulm,Stadt,Baden-Württemberg,N,129882,Martin Ansbacher,SPD,auslaenderwesen@ulm.de,,,,,,,,0731/161-0,0731/1611616,,"Olgastr. 66, , 89073 Ulm",48.4002560,9.9857250,48.4003486,9.9856845,48.3984968,9.9912458
LHS Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,,0711/216-0,0711/216-98103,https://www.stuttgart.de/buergerinnen-und-buerger/migranten/informationen-der-auslaenderbehoerde/,"Eberhardstr. 39, , 70173 Stuttgart",48.7728737,9.1779800,48.772886,9.1780874,48.7784485,9.1800132
STV Waiblingen,Waiblingen,Stadt,Baden-Württemberg,N,57313,Sebastian Wolf,CDU/CSU,buergerbuero@waiblingen.de,,,,,,,,07151/5001-0,07151/5001401,,"Kurze Str. 33, , 71332 Waiblingen",48.8319800,9.3170956,48.83198,9.3170956,48.8325659,9.3163822
STV Herrenberg,Herrenberg,Stadt,Baden-Württemberg,N,34192,Nico Reith,Parteilos,rga@herrenberg.de,,,,,,,,07032/924-0,07032/924332,http://www.herrenberg.de,"Kirchgasse 2, , 71083 Herrenberg",48.5962314,8.8707911,48.5962314,8.8707911,48.5963819,8.8702368
BGM Stutensee,Stutensee,Stadt,Baden-Württemberg,N,25259,Petra Becker,Parteilos,auslaenderbehoerde@stutensee.de,,,,,,,,07244/969-0,07244/969109,,"Rathausstr. 1/3, , 76297 Stutensee",49.3483899,8.6917457,49.0662909,8.4701278,49.0895249,8.4856806
LRA Böblingen,Böblingen,Stadt,Baden-Württemberg,N,51483,Stefan Belz,Grüne,stadt@boeblingen.de,,,,,,,,07031/669-0,07031/6691499,,"Marktplatz 16, , 71032 Böblingen",48.6849579,9.0110065,48.6849579,9.0110065,48.684969,9.0113444
LRA Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,96182,Matthias Klopfer,SPD,auslaenderamt@esslingen.de,,,,,,,,0711/3512-0,0711/35122590,,"Beblingerstr. 3/1, , 73728 Esslingen am Neckar",48.7426924,9.3045095,48.7422333,9.3046207,48.7427584,9.3071685
LRA Göppingen,Göppingen,Stadt,Baden-Württemberg,N,58937,Alexander Maier,Grüne,auslaenderbehoerde@goeppingen.de,,,,,,,,07161/650-0,07161/650257,http://www.goeppingen.de,"Geislinger Str. 27, , 73033 Göppingen",,,48.7011621,9.6543077,48.7031377,9.6541116
LRA Heidenheim,Heidenheim an der Brenz,Stadt,Baden-Württemberg,N,50618,Michael Salomo,SPD,auslaenderwesen@heidenheim.de,,,,,,,,07321/327-0,07321/3233326,,"Grabenstr. 15, , 89522 Heidenheim an der Brenz",,,48.6764735,10.1534317,48.6767637,10.152923
LRA Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,131986,Harry Mergel,SPD,abh@stadt-heilbronn.de,,,,,,,,07131/56-0,07131/563143,,"Marktplatz 7, , 74072 Heilbronn",,,49.1427877,9.21839,49.142291,9.218655
LRA Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,92858,Matthias Knecht,Parteilos,auslaenderbehoerde@ludwigsburg.de,,,,,,,,07141/910-0,07141/9102768,,"Wilhelmstr. 11, , 71638 Ludwigsburg",,,48.8959436,9.19167,48.8953937,9.1895147
RP Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,,0711/216-0,0711/216-98103,https://www.stuttgart.de/buergerinnen-und-buerger/migranten/informationen-der-auslaenderbehoerde/,"Eberhardstr. 39, , 70173 Stuttgart",,,48.772886,9.1780874,48.7784485,9.1800132
LEA Ellwangen,Ellwangen,Stadt,Baden-Württemberg,N,25001,Michael Dambacher,CDU/CSU,info@ellwangen.de,,,,,,,,07961/84-258,07961/84330,,"Spitalstr. 4, , 73479 Ellwangen (Jagst)",,,48.9607156,10.1315053,48.9615975,10.131975
RP Stuttgart - LZF,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,,0711/216-0,0711/216-98103,https://www.stuttgart.de/buergerinnen-und-buerger/migranten/informationen-der-auslaenderbehoerde/,"Eberhardstr. 39, , 70173 Stuttgart",,,48.772886,9.1780874
RP Tübingen (15.2 ABH),Tübingen,Stadt,Baden-Württemberg,N,92322,Boris Palmer,Parteilos,manuela.noll@tuebingen.de,,,,,,,,07071/204-0,07071/2042223,,"Schmiedtorstr. 4, , 72070 Tübingen",,,48.5219443,9.0523566,48.5203263,9.053596
